,studentized_resid,studentized_resid_external,cooks_d,leverage
34,-0.09892096222059937,-0.09847870503165078,5.176080236522086e-05,0.030761413081961352
35,0.046779470180597624,0.04656873414957235,1.3851460460447752e-05,0.03658877923896037
36,0.09703550105699325,0.0966015126283693,5.162252525780185e-05,0.031847330695348106
37,-0.6081799624590354,-0.6064454806194247,0.0016699493971033205,0.02637438479053806
38,-0.49557406533921206,-0.4938833739441588,0.0018468504610918348,0.04317176685358618
39,1.3172446390474317,1.3216684181811384,0.0046664890234346945,0.015880222361954202
40,0.16068476785230743,0.15997793224724605,0.00011409653810061361,0.025829110257145647
41,-0.24615633985942065,-0.2451119291532388,0.00022238590752684886,0.021546496076087496
42,1.5977280611866178,1.60912544912124,0.015519505425932709,0.035193590913424
43,0.8714250807711765,0.8704735467975335,0.004217368050171361,0.03224756422374308
44,0.6845374082881981,0.6828898797257703,0.008043706810169355,0.09337698553417498
45,-1.5036958556540243,-1.5123902889815755,0.01691112691898032,0.042947657818429325
46,-0.6097956552807923,-0.6080619736998141,0.0038114012537832824,0.05793589593193034
47,-0.5279839136788581,-0.526261472733031,0.002439727196147266,0.04989125748973232
48,-0.32111952252576875,-0.3198183539229346,0.005679365050965976,0.2483797082392831
49,1.0665796629788513,1.0672473485930993,0.004046960225864277,0.020898791636145317
50,-0.20743579462799466,-0.20653932192046165,0.00021577164242232786,0.02920816896392894
51,0.18583003406838003,0.18501985066584806,0.0001213480142815443,0.020648602260662684
52,0.07767225014486291,0.07732368491218655,3.594555665426318e-05,0.03451517982325083
53,0.5129559775831994,0.5112464479583413,0.001950506287834849,0.04258330931582449
54,-0.46679886512043645,-0.4651481946498553,0.002650742792360056,0.0680242655500489
55,1.017858949353972,1.0180257195173594,0.004858901477758391,0.02736920364810394
56,-0.4800373321349593,-0.4783669121197336,0.00248659398193401,0.06080796933824169
57,0.7821978067165088,0.7808213437795745,0.0019484946201492302,0.018749816623891705
58,-1.525296269954825,-1.5345773398416491,0.02834113675453496,0.06811202720303118
59,-0.4671273308307865,-0.46547614332350257,0.000528408295413145,0.014321405670077104
60,-0.5606969042603861,-0.5589576466938442,0.0033953975059855357,0.06085788769864468
63,1.8211134285653383,1.8405968118395077,0.01771096968028076,0.031047184699115618
64,-0.2038477150080514,-0.20296539915330514,0.00011839339026002517,0.016807593189448383
65,-0.0002519574179386702,-0.0002508199069281253,2.5238961032018545e-10,0.023298621500140587
66,-1.821772310998962,-1.8412832643354344,0.06238841265072437,0.10135709238331901
67,0.4184473500020707,0.4168871289258843,0.0015065018187457569,0.049088457556024964
68,-0.3871374503886155,-0.3856500884775424,0.0006743954908342243,0.026288501770557676
69,1.2611344599245302,1.2645329187600556,0.013289167749760935,0.04773993466191467
70,0.360352324462424,0.35893545584147035,0.0004080498087801582,0.01850536700198542
71,0.8291357273317539,0.8279603538115511,0.0034974259624042056,0.029620351051848834
72,-0.5721306920538717,-0.5703893420326104,0.0014425655255578796,0.025760948019606492
73,0.14968253303510354,0.14902180239631146,0.00029076847823747014,0.0722421964684604
74,-0.9741772704851477,-0.9739516114720937,0.007605899075227312,0.04588054573326978
75,-1.540095097849485,-1.5497897177639395,0.0041219199280398315,0.010319313806026837
76,0.32612142715125186,0.3248047320340675,0.00038435348656787365,0.021223018577302813
77,-0.13652525356883682,-0.13592029595007385,3.68371217155538e-05,0.01171902260206983
78,-0.4490798750056395,-0.4474590886355019,0.0012874351567021443,0.03688972721901179
79,-1.864043340176648,-1.885371471165558,0.023698126178923577,0.039312910766960876
80,-0.1594502704454745,-0.15874858259550956,0.00017582161303233016,0.03983975951830247
81,-0.7704629551562056,-0.7690436774116381,0.0052363589138426266,0.05026652671714783
82,-1.7657378917307955,-1.7829852205931576,0.02516743103258768,0.04619523204651879
83,1.1022205487040095,1.1032987483592092,0.007112960024217884,0.033936744257503794
84,0.016509568832756363,0.016435053331169024,8.204548442766948e-07,0.01774029349546476
85,0.4102784624630292,0.40873621617906186,0.0019975178017360346,0.0664681526544929
86,-0.9508583758441792,-0.950444295474959,0.00499688990991927,0.0320960523710931
87,-0.03295840186902118,-0.032809765252485655,8.764035714623554e-06,0.04617346833300414
88,0.10313615597255338,0.1026754473908392,0.00011659544909253514,0.06170900141860748
89,-0.7635532344421662,-0.7621101026519731,0.0022572906243984543,0.02270317381736578
90,0.5574424079913974,0.5557041109421972,0.005648412767105327,0.09833801264910035
91,-0.6069561626801385,-0.605221103363087,0.0021009796418633717,0.03308614930778519
92,-1.4286542111753715,-1.4354630544465388,0.014741903250452167,0.04153615494330756
93,-0.31574630100998,-0.31446205282366596,0.0006856077195378689,0.03962692579261029
94,-0.8522450226157697,-0.8511868101270004,0.01776599450913104,0.12797901498688863
95,-0.7568329316574195,-0.7553675531552202,0.007284146888343142,0.07089182923436589
96,0.6292885648666818,0.627567975854414,0.003562223041478239,0.05120865767808663
97,0.3546873709307811,0.3532863226897227,0.0015103909453975549,0.0671954445972006
98,-1.7980854072066226,-1.816619561234461,0.1858064565940465,0.2564056101372069
99,-0.7403430481580461,-0.7388270120165268,0.0024022024874173404,0.025622534625686276
100,-0.3134506000754695,-0.31217365630581345,0.00044128728482004413,0.026241326931193628
101,-0.16231467534922991,-0.16160105326685162,0.00031143866667818893,0.06622905571505319
103,-1.244570456041441,-1.2476876461098243,0.010433867782297861,0.038846367662688785
104,-3.215110739836867,-3.3609125187024587,0.1218890705210964,0.06607485402028984
105,1.0073068739080642,1.0073740365753125,0.005964789598888331,0.03406972003039828
106,0.05600508104715266,0.05575302286886628,2.772140075176138e-05,0.05035833056502859
107,0.2577791685634029,0.25669221989163504,0.0005191781780776337,0.04477914912860961
108,-0.03235634353042965,-0.032210416385943304,2.126036978757215e-05,0.10861025256877523
109,-0.07754611740159131,-0.07719811139903009,3.6246281379532316e-05,0.034903217146369715
110,-1.2703841272501246,-1.2739438430473982,0.011875024226186942,0.04228179160878737
111,-1.211404486219456,-1.213986959889763,0.014806993717426406,0.057083801067250875
112,-0.08227864358032219,-0.08190967836974969,4.967480380438069e-05,0.04216981383661475
113,-0.2945071123486277,-0.29329211269450023,0.0016821212405819235,0.1042344601299547
114,-0.08571417435601987,-0.08533002491635194,7.15337235874603e-05,0.05519490821147692
115,-0.7178289275028548,-0.7162525571521737,0.002734372223233732,0.030857078166795237
117,-1.3353035544653595,-1.3400817626396893,0.019833976185556663,0.06256645084777446
118,1.7488181751818883,1.7654137498341045,0.024536818840036466,0.045926366218766605
120,0.5936882372398149,0.5919484895553844,0.0020950342554209743,0.03443552962522834
121,0.7851453213170788,0.7837800723753523,0.0011155961501343123,0.010741573913516524
122,-1.5180125629741157,-1.5270935774112464,0.04435617041944574,0.10353515233851432
